PostalCode,Neighborhood,Latitude,Longitude
H8N,LaSalleNorthwest,45.438,-73.6215
H1P,Saint-LéonardNorth,45.5966,-73.5928
H2P,VillerayWest,45.5435,-73.6339
H3P,Mount RoyalNorth,45.5217,-73.6393
H4P,Mount RoyalSouth,45.4964,-73.6647
H7P,Fabreville,45.578,-73.8004
H8P,LaSalleSoutheast,45.4011,-73.619
H9P,DorvalOutskirts,45.4679,-73.7748
H1R,Saint-LéonardWest,45.5864,-73.6082
H2R,VilleraySoutheast,45.5401,-73.6225
H3R,Mount RoyalCentral,45.5101,-73.6478
H4R,Saint-LaurentCentral,45.5049,-73.7142
H7R, Laval-sur-le-Lac ,45.5526,-73.8507
H8R,Ville Saint-Pierre,45.3994,-73.6506
H9R,Pointe-Claire,45.4487,-73.8167
H1S,Saint-LéonardSoutheast,45.5808,-73.5825
H2S,Petite-PatrieSouthwest,45.5354,-73.6061
H3S,Côte-des-NeigesNorth,45.5063,-73.6297
H4S,Saint-LaurentSouthwest,45.4858,-73.7433
H7S,ChomedeyNortheast,45.5793,-73.7367
H8S,LachineEast,45.4402,-73.6747
H9S,Dorval / L'Île-Dorval,45.4414,-73.7749
H1T,RosemontNorth,45.573,-73.5701
H2T,Plateau Mont-RoyalWest,45.5247,-73.5953
H3T,Côte-des-NeigesNortheast,45.5018,-73.6191
H4T,Saint-LaurentSoutheast,45.4752,-73.6961
H7T,ChomedeyNorthwest,45.5573,-73.7725
H8T,LachineWest,45.4419,-73.7057
H1V,Maisonneuve,45.5585,-73.5386
H2V,Outremont,45.5168,-73.6072
H3V,Côte-des-NeigesEast,45.499,-73.6089
H4V,Côte Saint-LucEast,45.4671,-73.6487
H7V,ChomedeyEast,45.5478,-73.7368
H1W,Hochelaga,45.5442,-73.5468
H2W,Plateau Mont-RoyalSouth Central,45.5176,-73.5804
H3W,Côte-des-NeigesSouthwest,45.4897,-73.6312
H4W,Côte Saint-LucWest,45.47,-73.6686
H7W,ChomedeySouth,45.5338,-73.7652
H9W,Beaconsfield,45.4334,-73.8659
H1X,RosemontCentral,45.5583,-73.5701
H2X,Plateau Mont-RoyalSoutheast,45.5115,-73.5683
H3X,Hampstead / Côte Saint-Luc,45.4819,-73.6421
H4X,Montreal West,45.4529,-73.6492
H7X,Sainte-Dorothée,45.5334,-73.8159
H9X,Sainte-Anne-De-Bellevue,45.4062,-73.9456
H1Y,RosemontSouth,45.5486,-73.5788
H2Y,Old Montreal,45.5057,-73.555
H3Y,WestmountNorth,45.4876,-73.6045
H4Y,YUL,45.8654,-72.7614
H7Y,Îles-Laval,45.5284,-73.8509
H8Y,"Pierrefonds-RoxboroRoxboro, A Ma Baie, Cloverdale[3]",45.5084,-73.8075
H1Z,Saint-MichelWest,45.5694,-73.6221
H2Z,Downtown MontrealNortheast,45.5052,-73.5622
H3Z,WestmountSouth,45.4825,-73.5933
H4Z,Tour de la Bourse,45.5061,-73.5573
H8Z,Pierrefonds,45.5069,-73.8407
